小分类,题目,答案
divieto transito veicoli che trasportano merci pericolose,Il segnale raffigurato vieta il transito agli autoveicoli con motore alimentato a gas liquido (GPL),F
divieto transito veicoli che trasportano merci pericolose,Il segnale raffigurato vieta il transito agli autocarri telonati,F
divieto transito veicoli che trasportano merci pericolose,Il segnale raffigurato vieta il transito ai veicoli che trasportano merci deperibili,F
divieto transito veicoli che trasportano merci pericolose,Il segnale raffigurato vieta il transito ai veicoli con furgone frigorifero,F
divieto transito veicoli che trasportano esplosivi,Il segnale raffigurato vieta il transito ai veicoli che trasportano esplosivi,V
divieto transito veicoli che trasportano esplosivi,Il carburante contenuto nel serbatoio del veicolo non si considera trasporto di materiale infiammabile vietato dal segnale in figura,V
divieto transito veicoli che trasportano esplosivi,In presenza del segnale raffigurato è consentito il transito di autovetture alimentate a metano,V
divieto transito veicoli che trasportano esplosivi,Il segnale raffigurato vieta il transito ai veicoli che trasportano prodotti facilmente infiammabili,V
divieto transito veicoli che trasportano esplosivi,In presenza del segnale raffigurato gli autoveicoli che trasportano esplosivi possono effettuare manovre di sorpasso,F
divieto transito veicoli che trasportano esplosivi,Il segnale raffigurato prescrive di fare attenzione al transito di veicoli che trasportano esplosivo,F
divieto transito veicoli che trasportano esplosivi,"In presenza del segnale raffigurato è consentito il transito ai veicoli che trasportano prodotti facilmente infiammabili, purché non esplosivi",F
divieto transito veicoli che trasportano esplosivi,In presenza del segnale raffigurato è consentito il traino di veicoli che trasportano prodotti facilmente infiammabili,F
divieto transito veicoli con sostanze inquinanti le acque,Il segnale raffigurato vieta il transito ai veicoli che trasportano sostanze suscettibili di contaminare l'acqua,V
divieto transito veicoli con sostanze inquinanti le acque,In presenza del segnale raffigurato è consentito il transito di autoveicoli che trasportano prodotti che non contaminano l'acqua,V
divieto transito veicoli con sostanze inquinanti le acque,In presenza del segnale raffigurato è consentito il transito alle autocisterne che trasportano acqua,V
divieto transito veicoli con sostanze inquinanti le acque,In presenza del segnale raffigurato è consentito il transito alle innaffiatrici stradali,V
divieto transito veicoli con sostanze inquinanti le acque,In presenza del segnale raffigurato è consentito il transito di rimorchi che trasportano sostanze che possono contaminare l'acqua,F
divieto transito veicoli con sostanze inquinanti le acque,Il segnale raffigurato preannuncia una zona soggetta ad allagamento,F
divieto transito veicoli con sostanze inquinanti le acque,Il segnale raffigurato preannuncia la probabile presenza di acqua sulla carreggiata,F
divieto transito veicoli con sostanze inquinanti le acque,Il segnale raffigurato vieta la sosta delle autocisterne,F
divieto transito veicoli con sostanze inquinanti le acque,Il segnale raffigurato vieta il transito alle cisterne vuote,F
"divieto transito veicoli larghi più di 2,30 m",Il segnale raffigurato si riferisce ai veicoli anche se sprovvisti di motore,V
"divieto transito veicoli larghi più di 2,30 m",Il segnale raffigurato può trovarsi prima di una strettoia,V
"divieto transito veicoli larghi più di 2,30 m",Il segnale raffigurato è posto sulle strade sia urbane che extraurbane,V
"divieto transito veicoli larghi più di 2,30 m",Il segnale raffigurato indica la larghezza massima dei veicoli ammessi al transito,V
"divieto transito veicoli larghi più di 2,30 m","In presenza del segnale raffigurato è consentito il transito di autotreni larghi 2,30 metri",V
"divieto transito veicoli larghi più di 2,30 m","Il segnale raffigurato si riferisce a tutti i veicoli di larghezza superiore a 2,30 metri",V
"divieto transito veicoli larghi più di 2,30 m",Il segnale raffigurato indica la distanza minima di sicurezza tra due autoveicoli in transito su quella strada,F
"divieto transito veicoli larghi più di 2,30 m","In presenza del segnale raffigurato i veicoli a trazione animale larghi più di 2,30 m possono transitare",F
"divieto transito veicoli larghi più di 2,30 m",Il segnale raffigurato è un divieto che non riguarda gli autobus,F
"divieto transito veicoli larghi più di 2,30 m",Il segnale raffigurato indica la larghezza di una strettoia,F
"divieto transito veicoli larghi più di 2,30 m","Il segnale raffigurato è relativo al rimorchio, ma non alla motrice",F
"divieto transito veicoli larghi più di 2,30 m","Il segnale raffigurato indica una strada larga 2,30 metri",F
"divieto transito veicoli alti più di 3,5 m","Il segnale raffigurato indica l'altezza massima, misurata dal piano stradale, dei veicoli che possono transitare",V
"divieto transito veicoli alti più di 3,5 m","Il segnale raffigurato vieta il transito degli autoveicoli con altezza, comprensiva del carico, superiore a 3,50 metri",V
"divieto transito veicoli alti più di 3,5 m",Il segnale raffigurato indica l'altezza massima dei veicoli ammessi al transito,V
"divieto transito veicoli alti più di 3,5 m","In presenza del segnale raffigurato è consentito il transito di una macchina agricola alta 3,50 metri",V
"divieto transito veicoli alti più di 3,5 m",Il segnale raffigurato può trovarsi sia nei centri abitati che fuori,V
"divieto transito veicoli alti più di 3,5 m",Il segnale raffigurato può trovarsi in un punto in cui la strada passa sotto un ponte,V
"divieto transito veicoli alti più di 3,5 m","Il segnale raffigurato vieta il transito degli autoveicoli di lunghezza superiore a 3,50 metri",F
"divieto transito veicoli alti più di 3,5 m","Il segnale raffigurato indica un passaggio alto 3,50 metri",F
"divieto transito veicoli alti più di 3,5 m",Il segnale raffigurato nei centri abitati vale soltanto dalle ore 8.00 alle ore 20.00,F
"divieto transito veicoli alti più di 3,5 m","Il segnale raffigurato indica che possono passare gli autocarri con carico alto 3,50 metri dal piano del cassone",F
"divieto transito veicoli alti più di 3,5 m",Il segnale raffigurato indica la distanza di sicurezza da tenere dal veicolo che precede,F
divieto transito veicoli superiori a 10 m,Il segnale raffigurato vieta il transito a tutti i veicoli di lunghezza complessiva superiore a 10 metri,V
divieto transito veicoli superiori a 10 m,In presenza del segnale raffigurato è consentito il transito di un autotreno lungo 10 metri,V
divieto transito veicoli superiori a 10 m,Il segnale raffigurato vieta il transito a veicoli di lunghezza superiore a quella indicata,V
divieto transito veicoli superiori a 10 m,Il segnale raffigurato deve essere rispettato anche dai conducenti di autobus,V
divieto transito veicoli superiori a 10 m,Il segnale raffigurato vige anche di notte,V
divieto transito veicoli superiori a 10 m,Il segnale raffigurato deve essere rispettato anche dai conducenti di complessi di veicoli,V
divieto transito veicoli superiori a 10 m,Il segnale raffigurato deve essere rispettato solo dai conducenti di veicoli adibiti al trasporto di cose,F
divieto transito veicoli superiori a 10 m,Il segnale raffigurato obbliga un veicolo a distanziare quello che lo segue di almeno 10 metri,F
divieto transito veicoli superiori a 10 m,Il segnale raffigurato indica un'area di parcheggio per autocarri lunghi al massimo 10 metri,F
divieto transito veicoli superiori a 10 m,Il segnale raffigurato impone il distanziamento minimo tra autocarri per consentire alle autovetture di sorpassarli,F
divieto transito veicoli superiori a 10 m,In presenza del segnale raffigurato è consentito il transito di una autovettura che traina un caravan anche se insieme superano i 10 metri,F
divieto transito veicoli superiori a 10 m,In presenza del segnale raffigurato è consentito il transito a tutti gli autosnodati per trasporto di persone,F
divieto transito veicoli superiori a 10 m,Il segnale raffigurato preannuncia che gli autocarri devono mantenere una distanza di sicurezza di almeno 10 metri,F
divieto transito veicoli superiori a 7 t,Il segnale raffigurato vieta il transito ai veicoli aventi una massa effettiva superiore a quella indicata,V
divieto transito veicoli superiori a 7 t,"Il segnale raffigurato, integrato con pannello, può vietare il transito contemporaneo di più veicoli",V
divieto transito veicoli superiori a 7 t,Il segnale raffigurato vieta il transito agli autocarri di tara superiore a 7 tonnellate,V
divieto transito veicoli superiori a 7 t,In presenza del segnale raffigurato è consentito il transito di una macchina agricola di massa a pieno carico pari a 7 tonnellate,V
divieto transito veicoli superiori a 7 t,Il segnale raffigurato si può trovare prima di un ponte,V
divieto transito veicoli superiori a 7 t,In presenza del segnale raffigurato è consentito il transito ai veicoli il cui asse più caricato ha massa superiore a quella indicata,F
divieto transito veicoli superiori a 7 t,"Il segnale raffigurato, nei centri abitati, vige dalle ore 8.00 alle ore 20.00",F
divieto transito veicoli superiori a 7 t,In presenza del segnale raffigurato è consentito il transito di autobus di massa superiore a 7 tonnellate,F
divieto transito veicoli superiori a 7 t,Il segnale raffigurato vieta il transito ai soli veicoli per trasporto merci di massa superiore a 7 tonnellate,F
divieto transito veicoli superiori a 7 t,Il segnale raffigurato vieta il transito ai veicoli di lunghezza superiore a 7 metri,F
"divieto transito veicoli con massa per asse superiore a 2,5 t",Il segnale raffigurato vieta il transito ai veicoli aventi sull'asse più caricato una massa effettiva superiore a quella indicata,V
"divieto transito veicoli con massa per asse superiore a 2,5 t","In presenza del segnale raffigurato è consentito il transito di autocarri aventi massa effettiva per asse di 2,5 tonnellate",V
"divieto transito veicoli con massa per asse superiore a 2,5 t","Il segnale raffigurato vieta il transito ai veicoli aventi una massa effettiva per asse superiore a 2,5 tonnellate",V
"divieto transito veicoli con massa per asse superiore a 2,5 t",Il segnale raffigurato fa riferimento alla massa effettiva sull'asse al momento del transito,V
"divieto transito veicoli con massa per asse superiore a 2,5 t",Il segnale raffigurato può trovarsi prima di un ponte,V
"divieto transito veicoli con massa per asse superiore a 2,5 t","Il segnale raffigurato obbliga i veicoli aventi massa per asse superiore a 2,5 tonnellate a procedere a passo d'uomo",F
"divieto transito veicoli con massa per asse superiore a 2,5 t",Il segnale raffigurato vieta il transito agli autocarri di massa complessiva superiore a quella indicata,F
"divieto transito veicoli con massa per asse superiore a 2,5 t",Il segnale raffigurato vale solo per autoveicoli con ruote gemellate,F
"divieto transito veicoli con massa per asse superiore a 2,5 t",Il segnale raffigurato nei centri abitati vige dalle ore 8.00 alle ore 20.00,F
"divieto transito veicoli con massa per asse superiore a 2,5 t","Il segnale raffigurato vieta il transito a tutti i veicoli con massa complessiva a pieno carico superiore a 2,5 tonnellate",F
segnale di fine prescrizione,Il segnale raffigurato indica la fine delle prescrizioni precedentemente imposte,V
segnale di fine prescrizione,Il segnale raffigurato indica la fine di divieti precedentemente imposti,V
segnale di fine prescrizione,Il segnale raffigurato è un segnale di via libera,V
segnale di fine prescrizione,Il segnale raffigurato è un segnale di fine prescrizione,V
segnale di fine prescrizione,Il segnale raffigurato indica il punto dal quale le prescrizioni precedentemente indicate non sono più valide,V
segnale di fine prescrizione,Il segnale raffigurato indica la fine di un cantiere di lavoro,F
segnale di fine prescrizione,Il segnale raffigurato riguarda soltanto i veicoli in servizio pubblico,F
segnale di fine prescrizione,Il segnale raffigurato è un segnale di indicazione,F
segnale di fine prescrizione,Il segnale raffigurato indica la fine di un centro abitato,F
segnale di fine prescrizione,Il segnale raffigurato indica la fine del pericolo precedentemente segnalato,F
fine prescrizione 50 km/h,Il segnale raffigurato indica la fine di una prescrizione,V
fine prescrizione 50 km/h,Il segnale raffigurato indica la fine del limite massimo di velocità,V
fine prescrizione 50 km/h,Il segnale raffigurato consente di circolare a velocità superiore a 50 km/h,V
fine prescrizione 50 km/h,Il segnale raffigurato consente di circolare entro i limiti di velocità vigenti per quel tipo di strada,V
fine prescrizione 50 km/h,Il segnale raffigurato consente di marciare anche a velocità inferiore a 50 km/h,V
fine prescrizione 50 km/h,Il segnale raffigurato indica la fine del relativo divieto,V
fine prescrizione 50 km/h,Il segnale raffigurato indica il limite di velocità per tutti i veicoli,F
fine prescrizione 50 km/h,Il segnale raffigurato vieta di superare la velocità di 50 km/h,F
fine prescrizione 50 km/h,Il segnale raffigurato indica la fine del limite minimo di velocità,F
fine prescrizione 50 km/h,Il segnale raffigurato indica la fine dell'obbligo di mantenere una distanza di sicurezza di almeno 50 metri,F
fine prescrizione 50 km/h,Il segnale raffigurato prescrive ai veicoli che non superano la velocità di 50 km/h di marciare sulla corsia di destra,F
fine prescrizione 50 km/h,Il segnale raffigurato indica la velocità consigliata,F
fine del divieto di sorpasso,Il segnale raffigurato indica la fine del divieto di sorpasso precedentemente imposto,V
fine del divieto di sorpasso,In presenza del segnale raffigurato è vietato il sorpasso se deve essere oltrepassata la striscia continua,V
fine del divieto di sorpasso,Il segnale raffigurato indica il punto in cui termina il divieto di sorpasso,V
fine del divieto di sorpasso,Il segnale raffigurato non impone un particolare limite di velocità,V
fine del divieto di sorpasso,Il segnale raffigurato può essere posto sia nei centri urbani che fuori,V
fine del divieto di sorpasso,Il segnale raffigurato è un segnale di fine prescrizione,V
fine del divieto di sorpasso,Il segnale raffigurato ha validità per tutte le 24 ore,V
fine del divieto di sorpasso,Il segnale raffigurato indica la fine del divieto di sorpasso tra le sole autovetture,F
fine del divieto di sorpasso,Il segnale raffigurato indica la fine del divieto di transito per tutti gli autoveicoli,F
fine del divieto di sorpasso,Il segnale raffigurato prescrive il divieto di marcia per file parallele,F
fine del divieto di sorpasso,Il segnale raffigurato indica la fine del limite massimo di velocità,F
fine del divieto di sorpasso,Il segnale raffigurato indica la fine del divieto di sosta su entrambi i lati della strada,F
fine del divieto di sorpasso,Il segnale raffigurato indica che è finito l'obbligo di mantenere la distanza di sicurezza,F
fine del divieto di sorpasso,Il segnale raffigurato indica la fine del divieto di sosta in seconda fila,F
"fine divieto sorpasso per mezzi sopra 3,5 t",In presenza del segnale raffigurato un autotreno di massa pari a 44 tonnellate può sorpassare un'autovettura,V
"fine divieto sorpasso per mezzi sopra 3,5 t",Il segnale raffigurato indica la fine del divieto di sorpasso precedentemente imposto,V
"fine divieto sorpasso per mezzi sopra 3,5 t",In presenza del segnale raffigurato un autocarro può sorpassare un autobus,V
"fine divieto sorpasso per mezzi sopra 3,5 t","Il segnale raffigurato indica la fine del divieto di sorpasso per veicoli merci di massa a pieno carico superiore a 3,5 tonnellate",V
"fine divieto sorpasso per mezzi sopra 3,5 t",Il segnale raffigurato è un segnale di fine prescrizione,V
"fine divieto sorpasso per mezzi sopra 3,5 t","In presenza del segnale raffigurato è vietato il transito degli autotreni, autosnodati, autoarticolati",F
"fine divieto sorpasso per mezzi sopra 3,5 t",In presenza del segnale raffigurato le autovetture devono sorpassare gli autocarri sulla corsia di destra,F
"fine divieto sorpasso per mezzi sopra 3,5 t","Il segnale raffigurato indica la fine del divieto di sorpasso per autobus di massa a pieno carico superiore a 3,5 tonnellate",F
"fine divieto sorpasso per mezzi sopra 3,5 t",Il segnale raffigurato è un segnale di pericolo,F
"fine divieto sorpasso per mezzi sopra 3,5 t",Il segnale raffigurato non vale per gli autocarri di massa complessiva pari a 7 tonnellate,F
divieto di sosta,Il segnale raffigurato è posto nei luoghi dove la sosta è vietata,V
divieto di sosta,"Il segnale raffigurato vieta la sosta sulle strade urbane dalle ore 8.00 alle ore 20.00, salvo diversa indicazione",V
divieto di sosta,"Il segnale raffigurato può essere integrato da pannelli per indicarne l'inizio, il proseguimento o la fine",V
divieto di sosta,"Il segnale raffigurato cessa di validità dopo il primo incrocio, se non ripetuto",V
divieto di sosta,Il segnale raffigurato consente la fermata,V
divieto di sosta,Il segnale raffigurato consente la sosta nel tratto precedente,V
divieto di sosta,"Il segnale raffigurato, opportunamente integrato, può vietare la sosta nei centri abitati dalle ore 0,00 alle 24,00",V
divieto di sosta,"Il segnale raffigurato vieta la sosta, ma non la fermata",V
divieto di sosta,Il segnale raffigurato contraddistingue le aree dove è proibito lasciare in sosta un veicolo,V
divieto di sosta,"Il segnale raffigurato, lungo strade extraurbane, indica divieto permanente di sosta in assenza di indicazioni integrative",V
divieto di sosta,"Il segnale (A), se integrato con pannello (B), indica una zona in cui vige divieto di sosta",V
divieto di sosta,Il segnale raffigurato vieta la sosta sul lato della strada dove è posto,V
divieto di sosta,Il segnale (A) con il pannello (B) vieta la sosta solo nei giorni lavorativi,V
divieto di sosta,"Il segnale (A), integrato con il pannello (B), indica una ZONA RIMOZIONE COATTA",V
divieto di sosta,"Il segnale (A), se integrato con pannello (B), indica una zona in cui vige divieto di sosta, con rimozione del veicolo",V
divieto di sosta,Il segnale raffigurato non vieta la fermata,V
divieto di sosta,Il segnale raffigurato è un segnale di prescrizione,V
divieto di sosta,Il segnale raffigurato non è posto nei luoghi ove per regola generale vige il divieto di sosta,V
divieto di sosta,Il segnale raffigurato vieta l'abbandono prolungato nel tempo del veicolo,V
divieto di sosta,"Il segnale raffigurato, posto nei centri abitati, vieta, di norma, la sosta dalle ore 8.00 alle 20.00",V
divieto di sosta,"Il segnale (A), integrato con il pannello (B), consente la sosta agli autobus",V
divieto di sosta,"Il segnale (A), integrato con il pannello (B), vieta la sosta soltanto nei giorni festivi",V
divieto di sosta,Il segnale raffigurato vieta la sosta ma non la fermata,V
divieto di sosta,"Il segnale raffigurato, se posto sul lato sinistro di una strada a senso unico, vieta la sosta anche sul lato destro",F
divieto di sosta,Il segnale raffigurato vieta la sosta sul tratto precedente,F
divieto di sosta,Il segnale raffigurato preannuncia un divieto di fermata,F
divieto di sosta,Il segnale raffigurato non vale per i motocicli ed i ciclomotori,F
divieto di sosta,In presenza del segnale raffigurato è sempre prevista la rimozione forzata del veicolo,F
divieto di sosta,Il segnale raffigurato indica che la sosta è regolamentata con l'uso di parchimetri a pagamento,F
divieto di sosta,Il segnale raffigurato consente la sosta ai residenti,F
divieto di sosta,Il segnale raffigurato consente la sosta esponendo il tagliando emesso da un parchimetro,F
divieto di sosta,"Il segnale raffigurato, nelle strade extraurbane, consente la sosta dopo le ore 20.00",F
divieto di sosta,Il segnale raffigurato consente la sosta soltanto ai veicoli a due ruote,F
divieto di sosta,Il segnale raffigurato consente la sosta ai quadricicli a motore,F
divieto di sosta,"Il segnale raffigurato, nei centri urbani, prescrive il divieto di sosta dalle ore 20.00 alle ore 8.00, salvo diversa indicazione",F
divieto di sosta,Il segnale raffigurato indica che la sosta è regolamentata mediante disco orario,F
divieto di sosta,"Il segnale (A), se integrato con il pannello (B), è divieto di sosta permanente",F
divieto di sosta,"Il segnale raffigurato, opportunamente integrato, può vietare la sosta in doppia fila",F
divieto di sosta,Il segnale raffigurato vieta la sospensione temporanea della marcia per la salita e discesa dei passeggeri,F
divieto di sosta,"Lungo le strade extraurbane, il segnale raffigurato vale soltanto nelle ore diurne",F
divieto di sosta,Il segnale raffigurato vieta la sosta dei veicoli su ambo i lati della carreggiata,F
divieto di sosta,Il segnale raffigurato permette la sosta degli autobus,F
divieto di sosta,Il segnale raffigurato permette la sosta dei ciclomotori,F
divieto di fermata,Il segnale raffigurato vieta la temporanea sospensione della marcia del veicolo,V
divieto di fermata,Il segnale raffigurato vieta la fermata volontaria di tutti i veicoli,V
divieto di fermata,"Lungo le strade dove è posto, il segnale raffigurato vale 24 ore su 24",V
divieto di fermata,"Il segnale raffigurato vieta la sosta sia di giorno che di notte, anche nei centri abitati",V
divieto di fermata,Il segnale raffigurato vieta la fermata a tutti i veicoli,V
divieto di fermata,"Il segnale raffigurato, in assenza di iscrizioni integrative, vige per tutto l'arco delle ventiquattro ore",V
divieto di fermata,Il segnale raffigurato vieta qualsiasi volontaria fermata del veicolo,V
divieto di fermata,In presenza del segnale raffigurato è sempre disposta la rimozione forzata del veicolo,V
divieto di fermata,"Il segnale (A), se integrato con il pannello (B), vieta la fermata nel tratto precedente",V
divieto di fermata,"Il segnale (A), se integrato con il pannello (B), indica la fine del divieto di fermata e di sosta",V
divieto di fermata,"Il segnale raffigurato vieta la sosta, ma consente la fermata",F
divieto di fermata,"Lungo le strade urbane, il segnale raffigurato indica che il divieto di fermata vige dalle ore 8.00 alle 20.00",F
divieto di fermata,Il segnale raffigurato consente la fermata per far salire o scendere passeggeri,F
divieto di fermata,Il segnale raffigurato consente la fermata se il veicolo non arreca intralcio alla circolazione,F
divieto di fermata,"Il segnale raffigurato vieta la fermata, ma consente la sosta",F
divieto di fermata,Il segnale raffigurato non vale per gli autobus,F
divieto di fermata,Il segnale raffigurato non vale per i taxi,F
divieto di fermata,Il segnale raffigurato è un preavviso di divieto di sosta,F
divieto di fermata,"Il segnale raffigurato vale solo nei giorni feriali, salvo diversa indicazione",F
divieto di fermata,Il segnale raffigurato consente la fermata del veicolo per la salita e la discesa dei passeggeri,F
divieto di fermata,Il segnale raffigurato preannuncia la fine del divieto di sosta,F
area di parcheggio,Il segnale raffigurato indica un parcheggio autorizzato,V
area di parcheggio,"Il segnale raffigurato indica un'area attrezzata ed organizzata per sostare a tempo indeterminato, salvo diversa indicazione",V
area di parcheggio,Il segnale raffigurato indica un'area di parcheggio e può essere integrato con un pannello che ne indica la distanza,V
area di parcheggio,Il segnale raffigurato indica un'area di parcheggio e può essere integrato con un pannello che indica le categorie cui la stessa è riservata,V
area di parcheggio,Il segnale raffigurato indica un'area di parcheggio e può essere integrato con pannello che indica le categorie di veicoli esclusi,V
area di parcheggio,Il segnale raffigurato indica un'area di parcheggio e può essere integrato con un pannello che ne indica la limitazione nel tempo,V
area di parcheggio,Il segnale raffigurato indica un'area di parcheggio e può essere integrato con un pannello che indica l'orario e le tariffe,V
area di parcheggio,Il segnale raffigurato indica un'area di parcheggio e può essere integrato con un pannello indicante la disposizione dei veicoli,V
area di parcheggio,Il segnale raffigurato indica un'area di sosta con parchimetro,F
area di parcheggio,Il segnale raffigurato indica che il parcheggio è ammesso dalle 8.00 alle 20.00,F
area di parcheggio,Il segnale raffigurato indica un’area in cui è possibile la sosta al massimo per un’ora,F
area di parcheggio,"Il segnale raffigurato indica la sosta libera, ma con divieto di fermata",F
area di parcheggio,Il segnale raffigurato indica un'area di parcheggio riservato ai veicoli della Polizia di Stato,F
area di parcheggio,Il segnale raffigurato indica un'area di parcheggio e può essere integrato con un pannello che indica la superficie disponibile,F
area di parcheggio,Il segnale raffigurato indica un'area di parcheggio e può essere integrato con la prescrizione di lasciare la chiave nel quadro,F
preannuncio area di parcheggio,Il segnale raffigurato preannuncia che nella direzione della freccia vi è un parcheggio,V
preannuncio area di parcheggio,Il segnale raffigurato preannuncia una zona di parcheggio procedendo nel senso della freccia,V
preannuncio area di parcheggio,Il segnale raffigurato preannuncia un parcheggio a 300 metri nel senso della freccia,V
preannuncio area di parcheggio,Il segnale raffigurato preannuncia un posto di pronto soccorso nel senso della freccia,F
preannuncio area di parcheggio,Il segnale raffigurato preannuncia un parcheggio vietato nel senso della freccia,F
preannuncio area di parcheggio,Il segnale raffigurato preannuncia che la sosta e il parcheggio sono vietati nel senso della freccia,F
preannuncio area di parcheggio,Il segnale raffigurato preannuncia di procedere oltre perché il parcheggio è riservato,F
divieto sosta per passo carrabile,Il segnale raffigurato vieta la sosta nel luogo dove è posto,V
divieto sosta per passo carrabile,Il segnale raffigurato indica la zona per l'accesso dei veicoli alle proprietà laterali,V
divieto sosta per passo carrabile,Il segnale raffigurato indica lo sbocco di un passo carrabile,V
divieto sosta per passo carrabile,"Il segnale raffigurato consente la fermata, purché il veicolo non sia di intralcio",V
divieto sosta per passo carrabile,"Il segnale raffigurato, per essere valido, deve contenere l'indicazione dell'ente che ha concesso l'autorizzazione, il numero e l'anno del rilascio",V
divieto sosta per passo carrabile,Il segnale raffigurato è posto soltanto nelle strade urbane,F
divieto sosta per passo carrabile,Il segnale raffigurato vale solo nelle ore diurne,F
divieto sosta per passo carrabile,Il segnale raffigurato vale solo nelle ore notturne,F
divieto sosta per passo carrabile,Il segnale raffigurato consente la sosta a particolari categorie di veicoli,F
divieto sosta per passo carrabile,Il segnale raffigurato consente la sosta ai veicoli adibiti al pronto soccorso non in servizio,F
divieto di sosta contrassegno persone invalide,Il segnale raffigurato consente la sosta ai veicoli al servizio di persone invalide munite dell'apposito contrassegno,V
divieto di sosta contrassegno persone invalide,Il segnale raffigurato è un segnale di prescrizione,V
divieto di sosta contrassegno persone invalide,Il segnale raffigurato rappresenta una specifica eccezione al divieto di sosta,V
divieto di sosta contrassegno persone invalide,Il segnale raffigurato non consente la sosta a veicoli diversi da quelli al servizio di persone invalide,V
divieto di sosta contrassegno persone invalide,Il segnale raffigurato consente la sosta agli scuolabus,F
divieto di sosta contrassegno persone invalide,Il segnale raffigurato indica una corsia riservata ai veicoli al servizio di persone invalide,F
divieto di sosta contrassegno persone invalide,"Il segnale raffigurato è un divieto di sosta per i veicoli al servizio di invalidi, ed indica il più vicino parcheggio",F
divieto di sosta contrassegno persone invalide,Il segnale raffigurato preavvisa una zona vietata al traffico regolare perché attrezzata per persone invalide,F
divieto di sosta contrassegno persone invalide,"Il segnale raffigurato, nella strada ove è posto, consente il transito ai soli veicoli al servizio di persone invalide",F
divieto di sosta contrassegno persone invalide,Il segnale raffigurato consente la sosta ai ciclomotori e ai motocicli,F
divieto di sosta contrassegno persone invalide,Il segnale raffigurato consente la sosta esponendo il tagliando emesso da un parchimetro,F
regolazione sosta,Il segnale raffigurato rappresenta una regolazione della sosta,V
regolazione sosta,Il segnale raffigurato consente la sosta dalle ore 9.00 alle 17.00,V
regolazione sosta,Il segnale raffigurato vieta la sosta dalle ore 17.00 alle 20.00,V
regolazione sosta,Il segnale raffigurato consente la sosta in alcune ore e la vieta in altre,V
regolazione sosta,Il segnale raffigurato consente la sosta dalle ore 20.00 alle ore 7.00,V
regolazione sosta,Il segnale raffigurato vieta la sosta dalle ore 7.00 alle ore 9.00,V
regolazione sosta,"Il segnale raffigurato, nei centri abitati, consente la sosta dalle ore 20.00 alle 8.00",F
regolazione sosta,Il segnale raffigurato indica una zona destinata al parcheggio con impiego del disco orario,F
regolazione sosta,Il segnale raffigurato vieta la fermata del veicolo tra le ore 17.00 e le 20.00,F
regolazione sosta,Il segnale raffigurato consente il parcheggio dalle ore 7.00 alle 9.00,F
regolazione sosta,"Nelle ore in cui è vietata la sosta, il segnale raffigurato comporta la rimozione del veicolo",F
divieto di sosta temporaneo,Il segnale raffigurato è un segnale di DIVIETO DI SOSTA TEMPORANEO,V
divieto di sosta temporaneo,Il segnale raffigurato è posto nei tratti di strada ove vengono effettuate operazioni di pulizia meccanica delle strade,V
divieto di sosta temporaneo,Il segnale raffigurato vieta la sosta nei periodi in cui viene effettuata la pulizia meccanica della strada,V
divieto di sosta temporaneo,"Il segnale raffigurato, nei centri urbani, segnala il divieto di sosta limitato ai giorni e alle ore indicate",V
divieto di sosta temporaneo,Il segnale raffigurato indica la presenza di macchine sgombraneve al lavoro sulla strada,F
divieto di sosta temporaneo,Il segnale raffigurato segnala che nelle ore indicate vige il DIVIETO DI SOSTA per i veicoli rappresentati in figura,F
divieto di sosta temporaneo,Il segnale raffigurato indica che nei giorni e nelle ore indicate è vietata la sosta ai mezzi di pulizia,F
divieto di sosta temporaneo,Il segnale raffigurato indica presenza di un deposito con probabile uscita di mezzi per pulizia meccanica delle strade,F
divieto transito autotreni ed autoarticolati,Il segnale raffigurato vieta il transito ad autotreni ed autoarticolati,V
divieto transito autotreni ed autoarticolati,In presenza del segnale raffigurato è vietato il transito alle categorie di veicoli rappresentati in figura,V
divieto transito autotreni ed autoarticolati,Il segnale raffigurato è un divieto di transito per determinate categorie di veicoli,V
divieto transito autotreni ed autoarticolati,Il segnale raffigurato indica che i veicoli delle categorie rappresentate in figura non possono transitare,V
divieto transito autotreni ed autoarticolati,Il segnale raffigurato indica che possono transitare tutti i veicoli esclusi quelli delle categorie rappresentate in figura,V
divieto transito autotreni ed autoarticolati,Il segnale raffigurato indica un itinerario obbligatorio per gli autoveicoli delle categorie rappresentate in figura,F
divieto transito autotreni ed autoarticolati,Il segnale raffigurato preannuncia un parcheggio per autocarri ed autotreni,F
divieto transito autotreni ed autoarticolati,Il segnale raffigurato vieta il transito di tutti i veicoli con esclusione di quelli rappresentati in figura,F
divieto transito autotreni ed autoarticolati,Il segnale raffigurato vieta la sosta ad autotreni ed autoarticolati,F
divieto transito autotreni ed autoarticolati,Il segnale raffigurato presegnala una strada riservata ai veicoli delle categorie rappresentate in figura,F
divieto transito autotreni ed autoarticolati,Il segnale raffigurato indica un divieto di sosta per autotreni e autoarticolati,F
preavviso direzione obbligatoria a sinistra,Il segnale raffigurato preannuncia che non è consentito proseguire diritto,V
preavviso direzione obbligatoria a sinistra,Il segnale raffigurato preannuncia che non è consentito svoltare a destra,V
preavviso direzione obbligatoria a sinistra,Il segnale raffigurato è posto prima di un incrocio,V
preavviso direzione obbligatoria a sinistra,Il segnale raffigurato precede un segnale di DIREZIONE OBBLIGATORIA A SINISTRA,V
