大分类,小分类,图片
Pannelli integrativi dei segnali,mezzi di lavoro in azione,https://www.patentati.it/img_sign_400/137.png
Pannelli integrativi dei segnali,strada ghiacciata,https://www.patentati.it/img_sign_400/916.png
Pannelli integrativi dei segnali,strada sdrucciolevole per pioggia,https://www.patentati.it/img_sign_400/139.png
Pannelli integrativi dei segnali,autocarri in rallentamento,https://www.patentati.it/img_sign_400/140.png
Pannelli integrativi dei segnali,zona di rimozione,https://www.patentati.it/img_sign_400/141.png
Pannelli integrativi dei segnali,segnale di corsia,https://www.patentati.it/img_sign_400/142.png
Pannelli integrativi dei segnali,presenza tornanti,https://www.patentati.it/img_sign_400/143.png
Pannelli integrativi dei segnali,pulizia strade,https://www.patentati.it/img_sign_400/145.png
Pannelli integrativi dei segnali,andamento della strada principale,https://www.patentati.it/img_sign_400/146.png
Pannelli integrativi dei segnali,pannelli di eccezione,https://www.patentati.it/img_sign_400/967.png
"Limiti di velocità, pericolo e intralcio alla circolazione",il conducente deve regolare la velocità,无图片
"Limiti di velocità, pericolo e intralcio alla circolazione",obbligo di regolazione velocità,无图片
"Limiti di velocità, pericolo e intralcio alla circolazione",riduzione della velocità,无图片
"Limiti di velocità, pericolo e intralcio alla circolazione",limiti massimi di velocità generali,无图片
"Limiti di velocità, pericolo e intralcio alla circolazione",limiti velocità in base all'età,无图片
"Limiti di velocità, pericolo e intralcio alla circolazione",limiti velocità su strade extraurbane principali,无图片
"Limiti di velocità, pericolo e intralcio alla circolazione",regolazione velocità,无图片
"Limiti di velocità, pericolo e intralcio alla circolazione",doveri di velocità,无图片
"Limiti di velocità, pericolo e intralcio alla circolazione",norme sulla velocità,无图片
"Limiti di velocità, pericolo e intralcio alla circolazione",limiti velocità su strade extraurbane secondarie,无图片
"Limiti di velocità, pericolo e intralcio alla circolazione",contrassegni di velocità,https://www.patentati.it/img_sign_400/301.png
"Limiti di velocità, pericolo e intralcio alla circolazione",moderazione della velocità,无图片
"Limiti di velocità, pericolo e intralcio alla circolazione",diminuzione della velocità,无图片
"Limiti di velocità, pericolo e intralcio alla circolazione",limiti particolari di velocità,无图片
"Limiti di velocità, pericolo e intralcio alla circolazione",limiti e incroci,无图片
"Limiti di velocità, pericolo e intralcio alla circolazione",pericolo e intralcio alla circolazione,无图片
"Limiti di velocità, pericolo e intralcio alla circolazione",pallone sulla carreggiata,无图片
"Limiti di velocità, pericolo e intralcio alla circolazione",passaggio vicino ad auto parcheggiate,无图片
"Limiti di velocità, pericolo e intralcio alla circolazione",Comportamenti con passaggio a livello,无图片
Distanza di sicurezza,condizioni da considerare per la distanza di sicurezza,无图片
Distanza di sicurezza,la distanza di sicurezza,无图片
Distanza di sicurezza,distanza in particolari situazioni,无图片
Distanza di sicurezza,distanza e tempo di reazione,无图片
Distanza di sicurezza,distanza minima di sicurezza,无图片
Distanza di sicurezza,distrazione del conducente,无图片
Distanza di sicurezza,spazio percorso al secondo,无图片
Distanza di sicurezza,spazio di frenatura,无图片
Distanza di sicurezza,diminuzione e aumento spazio frenatura,无图片
Distanza di sicurezza,spazio di arresto,无图片
Distanza di sicurezza,aumento spazio di arresto,无图片
Distanza di sicurezza,condizioni che influiscono sulla distanza di sicurezza,无图片
Distanza di sicurezza,la distanza di sicurezza dipende da,无图片
Distanza di sicurezza,metri distanza di sicurezza,无图片
Distanza di sicurezza,distanza e veicoli,无图片
Norme sulla circolazione dei veicoli,manovra in retromarcia,https://www.patentati.it/img_sign_400/676.png
Norme sulla circolazione dei veicoli,pericolo o intralcio alla circolazione,无图片
Norme sulla circolazione dei veicoli,chi guida un veicolo,无图片
Norme sulla circolazione dei veicoli,carico sui veicoli,无图片
Norme sulla circolazione dei veicoli,uso corretto della strada,无图片
Norme sulla circolazione dei veicoli,prossimità di incrocio,无图片
Norme sulla circolazione dei veicoli,centro abitato e pedone,无图片
Norme sulla circolazione dei veicoli,corteo in centro abitato,无图片
Norme sulla circolazione dei veicoli,incrocio urbano,无图片
Norme sulla circolazione dei veicoli,strada extraurbana di notte,无图片
Norme sulla circolazione dei veicoli,evitare pericolo e intralcio,无图片
Norme sulla circolazione dei veicoli,condizioni di traffico intenso,无图片
Norme sulla circolazione dei veicoli,svolta a destra,无图片
Norme sulla circolazione dei veicoli,impegno delle corsie,https://www.patentati.it/img_sign_400/554.png
Norme sulla circolazione dei veicoli,cambio corsia,无图片
Norme sulla circolazione dei veicoli,svolta in carreggiata a doppio senso,无图片
Norme sulla circolazione dei veicoli,utilizzo corsie e file parallele,无图片
Norme sulla circolazione dei veicoli,attenzione nel cambio di corsia,无图片
Norme sulla circolazione dei veicoli,svolte e cambi di direzioni,无图片
Norme sulla circolazione dei veicoli,strada a doppio senso di marcia,无图片
Norme sulla circolazione dei veicoli,durante la marcia,无图片
Norme sulla circolazione dei veicoli,obbligo di precedenza,无图片
Norme sulla circolazione dei veicoli,vicinanza incrocio,无图片
Norme sulla circolazione dei veicoli,in corrispondenza di incroci,无图片
Norme sulla circolazione dei veicoli,proprietà privata,无图片
Norme sulla circolazione dei veicoli,svolta a destra di autotreno,无图片
Norme sulla circolazione dei veicoli,inversione di marcia del conducente,无图片
Norme sulla circolazione dei veicoli,manovre non consentite,无图片
Norme sulla circolazione dei veicoli,incroci con circolazione rotatoria,无图片
Norme sulla circolazione dei veicoli,arresto del veicolo,无图片
Norme sulla circolazione dei veicoli,auto della polizia,无图片
Norme sulla circolazione dei veicoli,immissione nel flusso della circolazione,无图片
Norme sulla circolazione dei veicoli,partenza dal margine della carreggiata,无图片
Norme sulla circolazione dei veicoli,retromarcia per immissione,https://www.patentati.it/img_sign_400/676.png
Norme sulla circolazione dei veicoli,arresto sul margine destro della carreggiata,无图片
Norme sulla circolazione dei veicoli,mancato rispetto delle norme,无图片
Norme sulla circolazione dei veicoli,utilizzo degl specchi retrovisori,无图片
Norme sulla circolazione dei veicoli,Posizione degli specchi retrovisori,无图片
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 642,https://www.patentati.it/img_sign_400/642.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 608,https://www.patentati.it/img_sign_400/608.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 615,https://www.patentati.it/img_sign_400/615.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 618,https://www.patentati.it/img_sign_400/618.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 662,https://www.patentati.it/img_sign_400/662.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 659,https://www.patentati.it/img_sign_400/659.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 640,https://www.patentati.it/img_sign_400/640.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 632,https://www.patentati.it/img_sign_400/632.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 646,https://www.patentati.it/img_sign_400/646.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 637,https://www.patentati.it/img_sign_400/637.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 643,https://www.patentati.it/img_sign_400/643.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 638,https://www.patentati.it/img_sign_400/638.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 667,https://www.patentati.it/img_sign_400/667.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 668,https://www.patentati.it/img_sign_400/668.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 610,https://www.patentati.it/img_sign_400/610.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 669,https://www.patentati.it/img_sign_400/669.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 665,https://www.patentati.it/img_sign_400/665.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 647,https://www.patentati.it/img_sign_400/647.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 655,https://www.patentati.it/img_sign_400/655.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 654,https://www.patentati.it/img_sign_400/654.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 613,https://www.patentati.it/img_sign_400/613.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 648,https://www.patentati.it/img_sign_400/648.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 650,https://www.patentati.it/img_sign_400/650.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 652,https://www.patentati.it/img_sign_400/652.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 617,https://www.patentati.it/img_sign_400/617.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 639,https://www.patentati.it/img_sign_400/639.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 651,https://www.patentati.it/img_sign_400/651.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 614,https://www.patentati.it/img_sign_400/614.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 664,https://www.patentati.it/img_sign_400/664.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 631,https://www.patentati.it/img_sign_400/631.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 663,https://www.patentati.it/img_sign_400/663.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 633,https://www.patentati.it/img_sign_400/633.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 607,https://www.patentati.it/img_sign_400/607.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 604,https://www.patentati.it/img_sign_400/604.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 636,https://www.patentati.it/img_sign_400/636.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 620,https://www.patentati.it/img_sign_400/620.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 616,https://www.patentati.it/img_sign_400/616.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 657,https://www.patentati.it/img_sign_400/657.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 660,https://www.patentati.it/img_sign_400/660.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 644,https://www.patentati.it/img_sign_400/644.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 606,https://www.patentati.it/img_sign_400/606.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 634,https://www.patentati.it/img_sign_400/634.png
Esempi di precedenza (ordine di precedenza agli incroci),precedenze incrocio di figura 661,https://www.patentati.it/img_sign_400/661.png
Norme sul sorpasso,conducente che intende sorpassare,无图片
Norme sul sorpasso,la manovra di sorpasso,无图片
Norme sul sorpasso,tram e sorpassi,无图片
Norme sul sorpasso,spazio necessario al sorpasso,无图片
Norme sul sorpasso,vietato il sorpasso,无图片
Norme sul sorpasso,sorpasso in prossimità di un dosso,无图片
Norme sul sorpasso,pericolosità del sorpasso,无图片
Norme sul sorpasso,conducente del veicolo da sorpassare,无图片
Norme sul sorpasso,norme generiche sul sorpasso,无图片
Norme sul sorpasso,sorpasso in autostrada,无图片
"Fermata, sosta, arresto e partenza",disco orario e parchimetro,无图片
"Fermata, sosta, arresto e partenza",conducente di autoveicolo in sosta,无图片
"Fermata, sosta, arresto e partenza",prima di iniziare a guidare,无图片
"Fermata, sosta, arresto e partenza",fermata del veicolo,无图片
"Fermata, sosta, arresto e partenza",durante la fermata,无图片
"Fermata, sosta, arresto e partenza",fermata fuori dai centri abitati,无图片
"Fermata, sosta, arresto e partenza",fermata vietata,无图片
"Fermata, sosta, arresto e partenza","fermate, cartelli e aree di intersezione",无图片
"Fermata, sosta, arresto e partenza",divieto di sosta e fermata,无图片
"Fermata, sosta, arresto e partenza",cautele durante la sosta,无图片
"Fermata, sosta, arresto e partenza",sosta fuori dai centri abitati,无图片
"Fermata, sosta, arresto e partenza",zone con spazi di sosta,无图片
"Fermata, sosta, arresto e partenza",zone in cui è vietata la sosta,无图片
"Fermata, sosta, arresto e partenza",zone di divieto di fermata e sosta,无图片
"Fermata, sosta, arresto e partenza",zone di sosta e fermata autobus,无图片
"Fermata, sosta, arresto e partenza",soste veicoli persone invalide,无图片
"Fermata, sosta, arresto e partenza",sosta e cassonetti rifiuti urbani,无图片
"Fermata, sosta, arresto e partenza","sosta, codice della strada e distributori",无图片
"Fermata, sosta, arresto e partenza",sosta e sottrazione punti,无图片
"Fermata, sosta, arresto e partenza",sosta di emergenza,无图片
"Fermata, sosta, arresto e partenza",discesa da veicolo,无图片
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)",ingombro carreggiata caduta carico,无图片
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)",ingombro per avaria,无图片
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)",caduta o spargimento di materie pericolose,无图片
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)",segnale mobile triangolare,无图片
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)",posizione del triangolo,无图片
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)",giubbotto ad alta visibilità,无图片
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)",divieto circolazione,无图片
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)",traino di veicoli in avaria,无图片
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)",aree di servizio,无图片
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)",uso proiettori anabbaglianti,无图片
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)",retromarcia e inversione di marcia,无图片
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)","ingorgo, uscita e immissione",无图片
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)",rampe e svincoli autostradali,无图片
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)",automobilista fermo in autostrada,无图片
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)",trasporto animali e persone,无图片
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)",trasporto e traino motocicli,无图片
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)",sistemazione carico veicoli,无图片
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)",sporgenza del carico,无图片
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)",sporgenza longitudinale,https://www.patentati.it/img_sign_400/302.png
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)",pannelli gialli e arancioni,https://www.patentati.it/img_sign_400/303.png
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)",regole di traino veicoli,无图片
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)",ciclisti e velocipedi,无图片
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)",conducente di autovettura e autoveicolo,无图片
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)",rischi su strade extraurbane,无图片
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)",massa dei veicoli,无图片
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)",conducente di fuoristrada,无图片
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)",valutazioni di pericolo,无图片
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)",campo di visibilità,无图片
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)",circolazione autocarri,无图片
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)",giubbotto retroriflettente,无图片
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)",circolazione dietro ad un veicolo,无图片
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)",traino di rimorchio,无图片
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)",numero persone trasportabili,无图片
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)",pannello carichi sporgenti,https://www.patentati.it/img_sign_400/302.png
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)",Comportamenti ala guida di caravan,无图片
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)",Dotazione del rimorchio,无图片
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)",Conduzione di veicoli con rimorchio,无图片
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)",Guida di veicoli con rimorchio,无图片
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)",Carichi e organi di traino,无图片
"Norme varie (ingombro della carreggiata, circolazione su autostrade e strade extraurbane principali, trasporto di persone, pannelli sui veicoli, etc.)",utilizzo del rimorchio,无图片
"Uso delle luci e dei dispositivi acustici, spie e simboli",luci anabbaglianti,无图片
"Uso delle luci e dei dispositivi acustici, spie e simboli",dispositivi da utilizzare durante la marcia,无图片
"Uso delle luci e dei dispositivi acustici, spie e simboli",obbligo anabbaglianti,无图片
"Uso delle luci e dei dispositivi acustici, spie e simboli",uso luci anabbaglianti,无图片
"Uso delle luci e dei dispositivi acustici, spie e simboli",catadiottri,无图片
"Uso delle luci e dei dispositivi acustici, spie e simboli",funzione dei catadiottri,无图片
"Uso delle luci e dei dispositivi acustici, spie e simboli",targa posteriore del veicolo,无图片
"Uso delle luci e dei dispositivi acustici, spie e simboli",spie dell'auto,无图片
"Uso delle luci e dei dispositivi acustici, spie e simboli",simbolo abbaglianti,https://www.patentati.it/img_sign_400/695.png
"Uso delle luci e dei dispositivi acustici, spie e simboli",simbolo fari anabbaglianti,https://www.patentati.it/img_sign_400/696.png
"Uso delle luci e dei dispositivi acustici, spie e simboli",simbolo indicatori di direzione,https://www.patentati.it/img_sign_400/697.png
"Uso delle luci e dei dispositivi acustici, spie e simboli",simbolo quattro frecce,https://www.patentati.it/img_sign_400/698.png
"Uso delle luci e dei dispositivi acustici, spie e simboli",utilizzo degli indicatori di direzione,无图片
"Uso delle luci e dei dispositivi acustici, spie e simboli",necessità nell'utilizzo degli indicatori di direzione,无图片
"Uso delle luci e dei dispositivi acustici, spie e simboli",Uso degli abbaglianti,无图片
"Uso delle luci e dei dispositivi acustici, spie e simboli",uso intermittente dei proiettori di profondità,无图片
"Uso delle luci e dei dispositivi acustici, spie e simboli",uso dei proiettori al di fuori dei centri abitati,无图片
"Uso delle luci e dei dispositivi acustici, spie e simboli",spia temperatura liquido raffreddamento,https://www.patentati.it/img_sign_400/704.png
"Uso delle luci e dei dispositivi acustici, spie e simboli",spia della batteria,https://www.patentati.it/img_sign_400/705.png
"Uso delle luci e dei dispositivi acustici, spie e simboli",spia pressione dell'olio,https://www.patentati.it/img_sign_400/706.png
"Uso delle luci e dei dispositivi acustici, spie e simboli",spia impianto frenante,https://www.patentati.it/img_sign_400/721.png
"Uso delle luci e dei dispositivi acustici, spie e simboli",Simbolo cinture sicurezza,https://www.patentati.it/img_sign_400/707.png
"Dispositivi di equipaggiamento, funzione ed uso: cinture di sicurezza, sistemi di ritenuta per bambini, casco protettivo e abbigliamento di sicurezza",uso cintura sicurezza,无图片
"Dispositivi di equipaggiamento, funzione ed uso: cinture di sicurezza, sistemi di ritenuta per bambini, casco protettivo e abbigliamento di sicurezza",veicoli con airbag,无图片
"Dispositivi di equipaggiamento, funzione ed uso: cinture di sicurezza, sistemi di ritenuta per bambini, casco protettivo e abbigliamento di sicurezza",poggiatesta,无图片
"Dispositivi di equipaggiamento, funzione ed uso: cinture di sicurezza, sistemi di ritenuta per bambini, casco protettivo e abbigliamento di sicurezza",situazioni particolari di sicurezza,无图片
"Dispositivi di equipaggiamento, funzione ed uso: cinture di sicurezza, sistemi di ritenuta per bambini, casco protettivo e abbigliamento di sicurezza",casco obbligatorio,无图片
"Dispositivi di equipaggiamento, funzione ed uso: cinture di sicurezza, sistemi di ritenuta per bambini, casco protettivo e abbigliamento di sicurezza",Scopo e utilizzo delle cinture di sicurezza,无图片
"Dispositivi di equipaggiamento, funzione ed uso: cinture di sicurezza, sistemi di ritenuta per bambini, casco protettivo e abbigliamento di sicurezza",sistemi per trasporto di bambini,无图片
"Dispositivi di equipaggiamento, funzione ed uso: cinture di sicurezza, sistemi di ritenuta per bambini, casco protettivo e abbigliamento di sicurezza",caratteristiche dell'airbag,无图片
"Dispositivi di equipaggiamento, funzione ed uso: cinture di sicurezza, sistemi di ritenuta per bambini, casco protettivo e abbigliamento di sicurezza",utilizzo del casco,无图片
"Dispositivi di equipaggiamento, funzione ed uso: cinture di sicurezza, sistemi di ritenuta per bambini, casco protettivo e abbigliamento di sicurezza",stivali ad uso motociclistico,无图片
"Dispositivi di equipaggiamento, funzione ed uso: cinture di sicurezza, sistemi di ritenuta per bambini, casco protettivo e abbigliamento di sicurezza",guanti ad uso motociclistico,无图片
"Dispositivi di equipaggiamento, funzione ed uso: cinture di sicurezza, sistemi di ritenuta per bambini, casco protettivo e abbigliamento di sicurezza",giacche e indumenti ad uso motociclistico,无图片
"Patenti di guida, sistema sanzionatorio, documenti di circolazione, obblighi verso agenti, uso di lenti e altri apparecchi",veicoli su strade pubbliche,无图片
"Patenti di guida, sistema sanzionatorio, documenti di circolazione, obblighi verso agenti, uso di lenti e altri apparecchi",documenti per la circolazione,无图片
"Patenti di guida, sistema sanzionatorio, documenti di circolazione, obblighi verso agenti, uso di lenti e altri apparecchi",targhe dei veicoli,无图片
"Patenti di guida, sistema sanzionatorio, documenti di circolazione, obblighi verso agenti, uso di lenti e altri apparecchi",Abilitazioni patente AM,无图片
"Patenti di guida, sistema sanzionatorio, documenti di circolazione, obblighi verso agenti, uso di lenti e altri apparecchi",Patente di categoria A1,无图片
"Patenti di guida, sistema sanzionatorio, documenti di circolazione, obblighi verso agenti, uso di lenti e altri apparecchi",Patente categoria A2,无图片
"Patenti di guida, sistema sanzionatorio, documenti di circolazione, obblighi verso agenti, uso di lenti e altri apparecchi",Patente di categoria A,无图片
"Patenti di guida, sistema sanzionatorio, documenti di circolazione, obblighi verso agenti, uso di lenti e altri apparecchi",Patente categoria B1,无图片
"Patenti di guida, sistema sanzionatorio, documenti di circolazione, obblighi verso agenti, uso di lenti e altri apparecchi",Patente di categoria B,无图片
"Patenti di guida, sistema sanzionatorio, documenti di circolazione, obblighi verso agenti, uso di lenti e altri apparecchi",Codice armonizzato 96,无图片
"Patenti di guida, sistema sanzionatorio, documenti di circolazione, obblighi verso agenti, uso di lenti e altri apparecchi",Patente di categoria BE,无图片
"Patenti di guida, sistema sanzionatorio, documenti di circolazione, obblighi verso agenti, uso di lenti e altri apparecchi",Ritiro patente di guida,无图片
"Patenti di guida, sistema sanzionatorio, documenti di circolazione, obblighi verso agenti, uso di lenti e altri apparecchi",revisione della patente di guida,无图片
"Patenti di guida, sistema sanzionatorio, documenti di circolazione, obblighi verso agenti, uso di lenti e altri apparecchi",revoca patente di guida,无图片
"Patenti di guida, sistema sanzionatorio, documenti di circolazione, obblighi verso agenti, uso di lenti e altri apparecchi",sospensione patente di guida,无图片
"Patenti di guida, sistema sanzionatorio, documenti di circolazione, obblighi verso agenti, uso di lenti e altri apparecchi",violazioni e decurtazione punti patente,无图片
"Patenti di guida, sistema sanzionatorio, documenti di circolazione, obblighi verso agenti, uso di lenti e altri apparecchi",perdita punti patente,无图片
"Patenti di guida, sistema sanzionatorio, documenti di circolazione, obblighi verso agenti, uso di lenti e altri apparecchi",Validità delle patenti di guida,无图片
Incidenti stradali e comportamenti in caso di incidente,causa probabile di incidenti,无图片
Incidenti stradali e comportamenti in caso di incidente,caso di pioggia,无图片
Incidenti stradali e comportamenti in caso di incidente,aquaplanning,无图片
Incidenti stradali e comportamenti in caso di incidente,strade coperte di neve,无图片
Incidenti stradali e comportamenti in caso di incidente,tratti di strada ghiacciati,无图片
Incidenti stradali e comportamenti in caso di incidente,nebbia fitta,无图片
Incidenti stradali e comportamenti in caso di incidente,obblighi dopo incidente stradale,无图片
Incidenti stradali e comportamenti in caso di incidente,salita e discesa passeggero,无图片
Incidenti stradali e comportamenti in caso di incidente,infossamento,无图片
Incidenti stradali e comportamenti in caso di incidente,tamponamenti stradali,无图片
Incidenti stradali e comportamenti in caso di incidente,pannelli in galleria,无图片
"Guida in relazione alle qualità e condizioni fisiche e psichiche, alcool, droga, farmaci e primo soccorso",segni di stanchezza,无图片
"Guida in relazione alle qualità e condizioni fisiche e psichiche, alcool, droga, farmaci e primo soccorso",eccesso di bevande alcoliche,无图片
"Guida in relazione alle qualità e condizioni fisiche e psichiche, alcool, droga, farmaci e primo soccorso",idoneità alla guida,无图片
"Guida in relazione alle qualità e condizioni fisiche e psichiche, alcool, droga, farmaci e primo soccorso",assunzione di droghe,无图片
"Guida in relazione alle qualità e condizioni fisiche e psichiche, alcool, droga, farmaci e primo soccorso",guida e alimentazione,无图片
"Guida in relazione alle qualità e condizioni fisiche e psichiche, alcool, droga, farmaci e primo soccorso",guida in stato di ebbrezza,无图片
"Guida in relazione alle qualità e condizioni fisiche e psichiche, alcool, droga, farmaci e primo soccorso",soccorso ferito,无图片
"Guida in relazione alle qualità e condizioni fisiche e psichiche, alcool, droga, farmaci e primo soccorso",primo soccorso,无图片
"Guida in relazione alle qualità e condizioni fisiche e psichiche, alcool, droga, farmaci e primo soccorso",infortunato con ferita sanguinante,无图片
